threshold,precision,recall,f1,false_negative,false_positive
0.2,0.7872983870967742,0.9563265306122449,0.8636196092886104,107,633
0.21,0.791864406779661,0.953469387755102,0.8651851851851852,114,614
0.22,0.795834755889382,0.9514285714285714,0.8667038482989403,119,598
0.23,0.7993127147766323,0.9493877551020408,0.8679104477611941,124,584
0.24,0.8031878031878031,0.9461224489795919,0.868815592203898,132,568
0.25,0.805439330543933,0.9428571428571428,0.8687476494922903,140,558
0.26,0.8098591549295775,0.9387755102040817,0.8695652173913043,150,540
0.27,0.8133191640099185,0.9371428571428572,0.8708515076806372,154,527
0.28,0.8172426077662985,0.9363265306122449,0.8727411070953015,156,513
0.29,0.8199426111908178,0.9330612244897959,0.872852233676976,164,502
0.3,0.8227665706051873,0.9322448979591836,0.8740910830463069,166,492
0.31,0.8257713248638838,0.9285714285714286,0.8741594620557157,175,480
0.32,0.8297405918889295,0.9269387755102041,0.8756506651243493,179,466
0.33,0.8321060382916053,0.9224489795918367,0.8749516066589237,190,456
0.34,0.8353726362625139,0.9195918367346939,0.8754614338449582,197,444
0.35,0.8363161819537659,0.9155102040816326,0.8741231488698363,207,439
0.36,0.8386611508085746,0.9102040816326531,0.8729692699158348,220,429
0.37,0.8407884761182715,0.9053061224489796,0.8718553459119497,232,420
0.38,0.8443342235787867,0.9032653061224489,0.8728061526326168,237,408
0.39,0.8460061443932412,0.8991836734693878,0.8717847249703206,247,401
0.4,0.8494208494208494,0.8979591836734694,0.873015873015873,250,390
0.41,0.8522550544323484,0.8946938775510204,0.8729589804858622,258,380
0.42,0.8547945205479452,0.8914285714285715,0.8727272727272727,266,371
0.43,0.8566929133858268,0.8881632653061224,0.8721442885771543,274,364
0.44,0.8586698337292161,0.8853061224489795,0.8717845659163987,281,357
0.45,0.8617106314948042,0.88,0.8707592891760905,294,346
0.46,0.8645707376058042,0.8755102040816326,0.8700060839586291,305,336
0.47,0.867288961038961,0.8722448979591837,0.8697598697598697,313,327
0.48,0.8699386503067484,0.8681632653061224,0.869050051072523,323,318
0.49,0.871499176276771,0.8636734693877551,0.8675686756867569,334,312
0.5,0.87375,0.8559183673469388,0.8647422680412371,353,303
0.51,0.8769941225860621,0.8526530612244898,0.8646523178807947,361,293
0.52,0.8801355357899195,0.8481632653061224,0.8638536686759509,372,283
0.53,0.8834329632792485,0.8444897959183674,0.8635225375626043,381,273
0.54,0.8856773080241588,0.8379591836734694,0.8611577181208053,397,265
0.55,0.8891786179921773,0.8351020408163266,0.8612923595032624,404,255
0.56,0.8915609969392216,0.8322448979591837,0.8608824150306101,411,248
0.57,0.8956214064573198,0.826530612244898,0.8596900870303545,425,236
0.58,0.8965209634255129,0.8204081632653061,0.8567774936061381,440,232
0.59,0.8982898289828983,0.8146938775510204,0.8544520547945206,454,226
0.6,0.8986883763003166,0.8110204081632653,0.85260673675177,463,224
0.61,0.9017816354499771,0.8057142857142857,0.8510454839405044,476,215
0.62,0.9020689655172414,0.8008163265306123,0.8484324324324324,488,213
0.63,0.9071063632141199,0.7971428571428572,0.8485770149902238,497,200
0.64,0.9110588235294118,0.7902040816326531,0.8463387978142076,514,189
0.65,0.9140958709065021,0.7861224489795918,0.8452929558920342,524,181
0.66,0.9148732663797227,0.7808163265306123,0.8425456947808853,537,178
0.67,0.9176755447941889,0.773469387755102,0.8394241417497231,555,170
0.68,0.9226248775710089,0.7689795918367347,0.8388245770258237,566,158
0.69,0.9236489836390679,0.7604081632653061,0.8341168569509738,587,154
0.7,0.9290744466800804,0.7538775510204082,0.8323569175304191,603,141
0.71,0.9326874043855176,0.7465306122448979,0.8292904103377919,621,132
0.72,0.9338501291989664,0.7375510204081632,0.8241733181299886,643,128
0.73,0.9339276350288411,0.726938775510204,0.8175350011475786,669,126
0.74,0.9382650345928686,0.7195918367346938,0.8145068145068145,687,116
0.75,0.9420054200542005,0.7093877551020408,0.809313154831199,712,107
0.76,0.9443526170798898,0.6995918367346938,0.8037514654161781,736,101
0.77,0.9448467966573816,0.6922448979591836,0.799057714958775,754,99
0.78,0.9451977401129944,0.6828571428571428,0.7928909952606635,777,97
0.79,0.9477311889718553,0.673469387755102,0.7874015748031497,800,91
0.8,0.948204826368452,0.6575510204081633,0.7765726681127982,839,88
